source_object_id,relationship_type,target_object_id,provenance_note,uncertainty_note,review_status
problem_housing_instability,supportedByEvidence,evidence_admin_data,data_inventory,administrative data may miss informal housing instability,current
problem_housing_instability,informedByCommunityKnowledge,evidence_community_input,consultation_notes,community testimony requires consent and context,current
option_rental_assistance,respondsToProblem,problem_housing_instability,theory_of_change,assumes assistance reaches at-risk households,current
option_zoning_reform,respondsToProblem,problem_housing_instability,policy_analysis,longer time horizon and market response uncertainty,provisional
institution_city_agency,implementsOption,option_rental_assistance,agency_authority,capacity constraints possible,current
stakeholder_tenants,affectedBy,option_rental_assistance,equity_review,distribution depends on eligibility rules,current
indicator_eviction_rate,measuresOutcomeFor,evaluation_plan,evaluation_design,indicator may not capture hidden displacement,current
evaluation_plan,evaluatesOption,option_rental_assistance,results_framework,requires baseline and comparison logic,provisional
governance_record,governsReviewOf,evaluation_plan,review_protocol,evaluation design needs metadata,current
option_zoning_reform,related,option_rental_assistance,,relationship needs clearer typing,needs_review
