source_object_id,relationship_type,target_object_id,evidence_note
ia_vs_ka,belongsToSeries,knowledge_architecture,series_context
ia_vs_ka,contrastsWith,taxonomy_design,article_body
ia_vs_ka,discussesRelatedArticle,knowledge_graphs,related_articles
ia_vs_ka,supportedByRepository,repository_folder,github_block
taxonomy_design,belongsToSeries,knowledge_architecture,article_map
knowledge_graphs,belongsToSeries,knowledge_architecture,article_map
ontologies_semantic_networks,belongsToSeries,knowledge_architecture,article_map
knowledge_graphs,citesSource,w3c_skos,references
taxonomy_design,citesSource,w3c_skos,references
repository_folder,supportsArticle,ia_vs_ka,repository_readme
