source_object_id,relationship_type,target_object_id,provenance_note,uncertainty_note,review_status
decision_question,informedByEvidence,evidence_study,evidence_inventory,study context may not generalize,current
decision_question,informedByCommunityKnowledge,evidence_community,consultation_record,feedback needs contextual interpretation,current
decision_question,informedByModel,evidence_model,scenario_documentation,scenario is not prediction,current
option_a,evaluatedAgainst,criterion_effectiveness,decision_matrix,score depends on evidence quality,current
option_a,evaluatedAgainst,criterion_equity,equity_review,distributional effects uncertain,current
option_a,evaluatedAgainst,criterion_feasibility,implementation_review,capacity assumptions need review,provisional
option_b,evaluatedAgainst,criterion_effectiveness,decision_matrix,score depends on assumptions,current
option_b,evaluatedAgainst,criterion_feasibility,implementation_review,implementation path uncertain,provisional
decision_record,selectsOption,option_a,decision_rationale,decision may require later revision,current
decision_record,citesEvidence,evidence_study,decision_rationale,limited external validity,current
decision_record,citesEvidence,evidence_community,decision_rationale,qualitative interpretation needed,current
outcome_indicator,monitorsOutcomeOf,decision_record,evaluation_plan,indicator may not capture all harms,provisional
feedback_record,feedsBackTo,decision_record,review_cycle,feedback metadata incomplete,needs_review
governance_record,governsReviewOf,decision_record,governance_protocol,requires regular review,current
assumption_register,documentsAssumptionsFor,decision_record,decision_file,assumptions need sensitivity review,current
option_b,related,option_a,,relationship needs clearer typing,needs_review
