metric,value
object_count,14
relationship_count,15
institution_count,4
rule_decision_record_count,4
evidence_source_count,5
participation_record_count,4
budget_outcome_audit_record_count,5
metadata_coverage,0.929
accountability_context_coverage,0.786
equity_context_coverage,0.643
relationship_traceability,0.933
underspecified_relationship_risk,0.067
participation_response_coverage,1.0
participation_link_share,0.133
review_link_share,0.267
orphan_count,0
review_needed_count,2
relationship_type_count,14
governance_check_count,10
