source_object_id,relationship_type,target_object_id,provenance_note,status
research_article,usesDataset,dataset,data_availability_statement,active
research_article,supportedBySoftware,code_repo,repository_link,active
dataset,governedByPlan,data_management_plan,project_records,active
dataset,governedByProtocol,ethics_protocol,ethics_record,active
dataset,storedInRepository,institutional_repository,repository_record,active
code_repo,archivedIn,institutional_repository,repository_record,active
lab_notebook,documentsCreationOf,dataset,,provisional
community_agreement,governsCommunicationOf,public_report,community_review,active
public_report,translatesFindingsFrom,research_article,publication_record,active
research_article,citesSource,source_fair,references,active
public_report,citesSource,source_unesco,references,active
data_management_plan,citesSource,source_oecd,references,active
