source_object_id,relationship_type,target_object_id,provenance_note,status
digital_platforms,belongsToSeries,knowledge_architecture,series_context,active
digital_platforms,belongsToLibrary,publications,gateway_navigation,active
digital_platforms,discussesRelatedArticle,taxonomy_design,related_articles,active
digital_platforms,discussesRelatedArticle,ontologies_semantic_networks,related_articles,active
digital_platforms,discussesRelatedArticle,knowledge_graphs,related_articles,active
digital_platforms,supportedByRepository,repository_folder,github_block,active
digital_platforms,citesSource,source_w3c_rdf,references,active
digital_platforms,citesSource,source_skos,references,active
repository_folder,containsDataset,synthetic_dataset,repository_readme,active
repository_folder,containsMethod,platform_audit_method,repository_readme,active
platform_audit_method,generatesOutput,platform_summary_output,python_script,active
synthetic_dataset,usedByMethod,platform_audit_method,python_script,active
knowledge_graphs,citesSource,source_w3c_rdf,references,active
taxonomy_design,citesSource,source_skos,references,active
