metric,value
object_count,14
relationship_count,16
contributor_count,7
contributor_role_count,7
institution_count,5
dataset_count,4
protocol_count,4
software_artifact_count,4
metadata_coverage,0.929
provenance_coverage,0.929
review_context_coverage,0.786
relationship_traceability,0.938
underspecified_relationship_risk,0.063
reproducibility_link_count,6
review_link_count,2
revision_link_count,2
ethics_link_count,1
repository_link_count,2
ai_assisted_research_link_count,1
orphan_count,0
review_needed_count,4
object_type_count,10
relationship_type_count,15
governance_check_count,10
