source_object_id,relationship_type,target_object_id,provenance_note,uncertainty_note,review_status
concept_systems_thinking,hasSubConcept,concept_feedback_loops,curriculum_map,concept boundaries may change,current
concept_feedback_loops,supportsObjective,objective_explain_feedback,objective_map,objective may need examples,current
concept_feedback_loops,supportsObjective,objective_apply_feedback,objective_map,application contexts vary,current
resource_reading,teachesObjective,objective_explain_feedback,lesson_plan,reading level requires review,current
resource_diagram,illustratesObjective,objective_explain_feedback,lesson_plan,accessibility metadata incomplete,needs_review
practice_task,practicesObjective,objective_apply_feedback,activity_design,difficulty may vary by learner,current
assessment_quiz,assessesObjective,objective_explain_feedback,assessment_map,quiz may not capture transfer,current
performance_assessment,assessesObjective,objective_apply_feedback,assessment_map,requires rubric consistency,current
rubric,evaluatesAssessment,performance_assessment,rubric_file,rater reliability should be reviewed,current
assessment_quiz,generatesFeedback,feedback_record,feedback_workflow,feedback metadata incomplete,needs_review
feedback_record,feedsBackTo,revision_log,review_cycle,feedback aggregation requires privacy review,current
revision_log,revises,resource_diagram,accessibility_review,revision requires completed alt text,current
repository_record,storesResource,resource_reading,repository_record,license and version should remain current,current
repository_record,storesResource,resource_diagram,repository_record,accessibility issue should be flagged,current
ai_review_record,governsAIUseFor,practice_task,ai_review,AI practice prompts need review,current
resource_diagram,related,resource_reading,,relationship needs clearer typing,needs_review
