source_object_id,relationship_type,target_object_id,provenance_note,uncertainty_note,review_status
policy_decision,issuedBy,institution_agency,decision_file,authority requires active mandate,current
policy_decision,authorizedBy,legal_mandate,statutory_reference,interpretive limits may apply,current
policy_decision,supportedByEvidence,evidence_report,decision_rationale,evidence scope is limited,current
policy_decision,fundedBy,budget_line,budget_record,fiscal assumptions may change,current
consultation_record,informsDecision,policy_decision,consultation_summary,participation influence requires review,current
affected_community,participatesIn,consultation_record,participation_log,participation may not represent all affected groups,current
implementation_plan,implements,policy_decision,implementation_file,capacity constraints possible,current
outcome_indicator,monitorsOutcomeOf,policy_decision,performance_framework,indicator may miss distributional harm,provisional
audit_finding,reviews,implementation_plan,audit_report,audit metadata incomplete,needs_review
revision_record,respondsToReview,audit_finding,revision_log,follow-up may be incomplete,current
revision_record,revises,policy_decision,revision_log,revision effects require later evaluation,current
governance_review_record,governsReviewOf,policy_decision,governance_protocol,review cadence must be maintained,current
ai_review_record,governsAIUseFor,policy_decision,ai_governance_protocol,AI system limits require documentation,current
appeal_pathway,providesContestabilityFor,policy_decision,public_accountability_record,accessibility may vary,current
budget_line,related,affected_community,,relationship needs clearer typing,needs_review
