term_id,preferred_label,parent_id,declared_depth,computed_depth,depth_mismatch,facet,child_count,relationship_degree,assignment_count,weakly_integrated,has_scope_note,status
ai_retrieval,AI-Assisted Retrieval,platforms,2,2,False,technology,0,2,0,False,True,active
controlled_vocabularies,Controlled Vocabularies,taxonomy,3,3,False,method,0,1,1,False,True,active
foundations,Foundations and Core Architecture,ka,1,1,False,domain,0,0,0,False,True,active
ka,Knowledge Architecture,,0,0,False,domain,3,0,0,False,True,active
knowledge_graphs,Knowledge Graphs,semantic,2,2,False,method,0,2,1,False,True,active
metadata,Metadata Systems,platforms,2,2,False,infrastructure,0,2,2,False,True,active
ontology,Ontology Modeling,semantic,2,2,False,method,0,1,1,False,True,active
platforms,Digital Platforms and Research Infrastructure,ka,1,1,False,domain,3,1,0,False,True,active
repositories,Research Repositories,platforms,2,2,False,infrastructure,0,0,1,False,True,active
semantic,Taxonomies Ontologies and Semantic Structure,ka,1,1,False,domain,3,1,0,False,True,active
taxonomy,Taxonomy Design,semantic,2,2,False,method,1,4,2,False,True,active
