metric,value
object_count,14
relationship_count,16
resource_count,5
learning_objective_count,4
assessment_feedback_record_count,5
metadata_coverage,0.929
accessibility_context_coverage,0.929
review_context_coverage,0.857
relationship_traceability,0.938
underspecified_relationship_risk,0.063
assessment_alignment_links,2
feedback_link_count,2
objective_link_count,5
resource_link_count,6
accessibility_record_mean_completeness,0.8
orphan_count,0
review_needed_count,2
relationship_type_count,14
governance_check_count,10
