metric,value
object_count,14
relationship_count,14
repository_count,4
metadata_field_count,10
ai_record_count,5
governance_record_count,6
accessibility_record_count,5
reuse_condition_count,5
resilience_record_count,6
metadata_coverage,0.929
provenance_coverage,0.929
reuse_context_coverage,0.786
review_context_coverage,0.857
relationship_traceability,0.929
underspecified_relationship_risk,0.071
accessibility_mean_completeness,0.733
ai_grounding_link_count,2
repository_link_count,1
governance_link_count,2
revision_link_count,1
accessibility_link_count,1
resilience_link_count,1
orphan_count,0
review_needed_count,3
object_type_count,12
relationship_type_count,14
governance_check_count,10
